"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Pray_For_Nesamani",FALSE,0,NA,2019-06-04 07:34:25,FALSE,NA,"1135812031087407104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","veerahit",0,FALSE,FALSE,NA,NA
"2","RT @behindwoods: ""Enakku End-eh Illa da..""- Vadivelu on Controversies, Memes &amp; Hollywood Plans 
Link: https://t.co/Z8DhFnnnSW

#Vadivelu #N…",FALSE,0,NA,2019-06-04 07:31:08,FALSE,NA,"1135811207829450752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ijinnah90",61,TRUE,FALSE,NA,NA
"3","RT @bahiradhan2: #ban_hydrocan_project
#banhydrocarbon 
#banhydrocarbonproject 
#socialmemes 
#socialawareness 
#prayfornesamani no need
#P…",FALSE,0,NA,2019-06-04 07:11:09,FALSE,NA,"1135806175671246848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pavithran26897",3,TRUE,FALSE,NA,NA
"4","RT @IamMani19: @iam_SJSuryah Anna  neenga intha issue pathi ethachum pesuneenga na romba useful ah irukum it will reach many people <U+0001F64F>
 #Whe…",FALSE,0,NA,2019-06-04 07:08:20,FALSE,NA,"1135805467509133312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pavithran26897",5,TRUE,FALSE,NA,NA
"5","RT @nandhusnv: #Nesamani Game is on<U+0001F60D><U+0001F528> @Actorjiiva Thalaivaaaa try this game<U+0001F602><U+0001F528> Full fun ! :)
Take a look at ""Save Nesamani #pray_for_nesaman…",FALSE,0,NA,2019-06-04 07:01:24,FALSE,NA,"1135803725040087040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gowrigowrii",2,TRUE,FALSE,NA,NA
"6","#Pray_for_nesamani<U+0001F64F><U+0001F622><U+0001F61C>...Russian version... https://t.co/6YyRZAPati",FALSE,0,NA,2019-06-04 06:57:52,FALSE,NA,"1135802835201855488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Karthiknamachi1",0,FALSE,FALSE,NA,NA
"7","RT @mannu_meh: @fx16news .@chennaipolice_ reply will be like #Pray_For_Nesamani nu add koduthomnga ayya<U+0001F606><U+0001F606> https://t.co/mCwKkHMCjP",FALSE,0,NA,2019-06-04 06:41:51,FALSE,NA,"1135798804731445248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mannu_meh",1,TRUE,FALSE,NA,NA
"8","@fx16news .@chennaipolice_ reply will be like #Pray_For_Nesamani nu add koduthomnga ayya<U+0001F606><U+0001F606> https://t.co/mCwKkHMCjP",FALSE,0,"fx16news",2019-06-04 06:40:54,FALSE,"1135797574139490304","1135798563621838848","800021034736881664","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mannu_meh",1,FALSE,FALSE,NA,NA
"9","@saranyarathna29 Take a look at ""Save Nesamani #pray_for_nesamani"" https://t.co/9w2Fesqeak",FALSE,1,"saranyarathna29",2019-06-04 06:35:11,FALSE,"1135796877364871168","1135797125613203456","989780407779344384","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nandhusnv",0,FALSE,FALSE,NA,NA
"10","#Nesamani Game is on<U+0001F60D><U+0001F528> @Actorjiiva Thalaivaaaa try this game<U+0001F602><U+0001F528> Full fun ! :)
Take a look at ""Save Nesamani… https://t.co/eJJuP1pF2o",FALSE,3,NA,2019-06-04 06:31:36,TRUE,NA,"1135796225024770049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nandhusnv",2,FALSE,FALSE,NA,NA
